company,metric,value,unit,basis,scope,vintage,confidence,source_url,quote_or_derivation
Google,hourly_cfe_us,70,%,hourly CFE,US average,CY2024,high,https://www.gstatic.com/gumdrop/sustainability/google-2025-environmental-report.pdf,"US avg 70%: ERCOT 94 / MISO 87 / SPP 88 / PJM 62 / SOCO 42 / SC 31. BPA 87 is grid hydro not procurement."
Google,nuclear_hydro_flag,2.085-4.415,GW,identified non-zero-water CFE exclusions,North America,2025-2026 vintages,medium,https://bam.brookfield.com/press-releases/brookfield-and-google-sign-hydro-framework-agreement-deliver-3000-mw-homegrown,"Known non-zero-water CFE to exclude from any zero-water cross-check: Brookfield hydro 0.670 GW signed / up to 3.000 GW framework; Duane Arnold nuclear 0.600 GW; Kairos nuclear up to 0.500 GW; Fervo enhanced geothermal 0.115 GW; CFS fusion 0.200 GW. Hydro, nuclear, geothermal, and fusion are zero-carbon or clean-energy resources but not zero-water wind/solar procurement."
Amazon,contracted_capacity_cumulative,22.491,GW,contracted/announced named wind/solar only,US,live 2026 CSV checked 2026-06-30,high (company CSV),https://sustainability.aboutamazon.com/content/dam/sustainability-marketing-site/05-carbon-free-energy/amazon-carbon-free-energy-projects.csv,"Live CSV has 710 rows. United States named wind records total 4,378.42 MW; named solar records total 18,112.41 MW; strict named wind/solar total = 22,490.83 MW. Excludes 3,120 MW US nuclear and 21.33 MW unlabeled / Whole Foods records."
Amazon,contracted_capacity_cumulative_global,41.600,GW,contracted/announced all listed resources,Global,live 2026 CSV checked 2026-06-30,high,https://sustainability.aboutamazon.com/content/dam/sustainability-marketing-site/05-carbon-free-energy/amazon-carbon-free-energy-projects.csv,"Live CSV sum of System Size across all countries and resources = 41,599.72 MW. Includes nuclear and non-US resources; context only."
Amazon,operating_capacity,6.226,GW,operating named wind/solar (CSV operational-date reconstruction),US,end-2023,medium-high (derived from company CSV),https://sustainability.aboutamazon.com/climate-solutions/carbon-free-energy,"Sum of United States named wind/solar records with Operational Date <= 2023-12-31 in live Amazon CSV."
Amazon,operating_capacity,12.129,GW,operating named wind/solar (CSV reconstruction),US,end-2024,medium-high (derived),https://sustainability.aboutamazon.com/climate-solutions/carbon-free-energy,"Live CSV United States named wind/solar records with Operational Date <= 2024-12-31: solar 8,342.51 MW + wind 3,786.72 MW."
Amazon,operating_capacity,15.421,GW,operating named wind/solar incl. 2025 CODs,US,end-2025,medium (derived; CODs may be expected dates),https://sustainability.aboutamazon.com/climate-solutions/carbon-free-energy,"Live CSV United States named wind/solar records with Operational Date <= 2025-12-31: solar 11,372.71 MW + wind 4,047.92 MW."
Amazon,operating_capacity,16.161,GW,operating named wind/solar incl. 2026 CODs to audit date,US,2026-06-30,medium (derived; CODs may be expected dates),https://sustainability.aboutamazon.com/content/dam/sustainability-marketing-site/05-carbon-free-energy/amazon-carbon-free-energy-projects.csv,"Live CSV United States named wind/solar records with Operational Date <= 2026-06-30: solar 12,112.71 MW + wind 4,047.92 MW = 16,160.63 MW."
Amazon,delivered_renewable_energy,12.5,TWh/yr,delivered (PPA fleet generation; derived),US,CY2023,medium (derived),https://sustainability.aboutamazon.com/2024-amazon-sustainability-report.pdf,"CSV capacity-by-COD-cohort x EIA tech CFs (wind .32-.38 / solar .24-.26), 2023-COD cohort at mid-year credit. Range 11.7-14.9; central 13.3. NOTE: Amazon does not disclose total MWh consumed - the denominator of its 100% claim is not public."
Amazon,delivered_renewable_energy,23.5,TWh/yr,delivered (derived),US,CY2024,medium (derived),https://sustainability.aboutamazon.com/climate-solutions/carbon-free-energy,"Same method on live-COD end-2024 fleet (12.129 GW named US wind/solar). Range 23-24 TWh; delivered-energy estimate is separate from the contracted-capacity PPA count."
Amazon,matched_claim,100,%,annual EAC matching,Global,CY2023 + CY2024,high (claim) / low (auditability),https://www.aboutamazon.eu/news/sustainability/amazon-meets-100-renewable-energy-goal-seven-years-early,"""All of the electricity consumed by Amazon's operations ... matched with 100% renewable energy in 2023"" - 7 years early. Total consumption not disclosed."
Amazon,unbundled_rec_share,52,%,share of renewable claims from unbundled RECs,Global,2022 (latest published),medium,https://www.energyconnects.com/news/renewables/2024/august/how-tech-companies-are-obscuring-ai-s-real-carbon-footprint/,"Bloomberg: ""52% of renewable energy claims relied on unbundled RECs in 2022""; Amazon ""most dependent of the four."" Amazon defense: RECs bridge gap until contracted projects come online - which supports using the physical fleet (CSV CODs) as the water-credit basis."
Amazon,nuclear_flag,~4,GW,contracted nuclear (NOT zero-water),US/Europe/APAC mix,CY2025 signings,medium,https://about.bnef.com/insights/clean-energy/corporate-clean-energy-buying-fell-in-2025-after-nearly-a-decade-of-growth/,"BNEF: Amazon contracted 10.22 GW in 2025 (~4 solar / 2 wind / ~4 nuclear). Exclude nuclear from zero-water capacity."
Microsoft,contracted_renewable_map_total,26.252,GW,contracted renewable capacity from official regional map before hydro exclusion,US,as-of Dec 31 2025,high (official map),https://blogs.microsoft.com/wp-content/uploads/2026/02/renewable-energy-map-miller-light.png,"Microsoft's official procurement map: PJM 8,089 + MISO 7,897 + ERCOT 4,696 + WECC 3,431 + SERC 1,054 + CAISO 907 + SPP 178 = 26,252 MW."
Microsoft,identified_hydro_exclusion,0.102,GW,Hawk's Nest hydropower capacity subtracted from zero-water default,US,current through 2026-06-30,medium-high,https://news.microsoft.com/source/features/sustainability/6-projects-that-helped-microsoft-meet-its-renewable-energy-goal/,"Microsoft's project examples identify Hawk's Nest hydropower in the Brookfield partnership. LIHI lists the Hawk's Nest project at 102 MW (https://lowimpacthydro.org/hawks-nest-project-wv/). The dashboard subtracts the full 102 MW as a conservative upper-bound hydro exclusion from Microsoft's official US renewable map total."
Microsoft,contracted_capacity_cumulative,26.150,GW,zero-water-adjusted contracted renewable capacity,US,as-of Dec 31 2025 map with 2026 hydro source check,high for map / medium-high for zero-water,https://blogs.microsoft.com/wp-content/uploads/2026/02/renewable-energy-map-miller-light.png,"26.252 GW official Microsoft US contracted renewable map - 0.102 GW identified Hawk's Nest hydropower = 26.150 GW used in the strict zero-water default. The remaining residual risk is any additional undisclosed hydropower inside the regional map."
Microsoft,operating_capacity,11.484,GW,operating (""active""),US,as-of Dec 31 2025,high (official map),https://blogs.microsoft.com/wp-content/uploads/2026/02/renewable-energy-map-miller-light.png,"Map active values: MISO 2,966 + PJM 2,635 + ERCOT 3,545 + WECC 1,590 + SERC 3 + CAISO 567 + SPP 178 = 11,484 MW. US active = 60% of Microsoft's 19 GW global online renewable capacity."
Microsoft,contracted_capacity_cumulative_global,40,GW,contracted renewable,Global,Dec 31 2025,high,https://blogs.microsoft.com/blog/2026/02/18/a-milestone-achievement-in-our-journey-to-carbon-negative/,"""we have contracted 40 gigawatts (GW) of new renewable energy supply across 26 countries ... 400+ contracts""; ""Of that contracted volume 19 GW are now online."""
Microsoft,delivered_renewable_energy,13.775,TWh/yr,consumed = 100% annually matched,North America,FY2023 (Jul 2022-Jun 2023),high (Deloitte-reviewed fact sheet),https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/msc/documents/presentations/CSR/2025-Microsoft-Environmental-Data-Fact-Sheet-PDF.pdf,"NA consumed = renewable matched 13,775,220 MWh. Global ""direct"" (PPA/long-term) share FY23 = 59%."
Microsoft,delivered_renewable_energy,16.599,TWh/yr,consumed = 100% annually matched,North America,FY2024,high,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/msc/documents/presentations/CSR/2025-Microsoft-Environmental-Data-Fact-Sheet-PDF.pdf,"NA 16,599,079 MWh; global direct share FY24 = 78%."
Microsoft,delivered_ppa_only_estimate,9.0,TWh/yr,delivered via PPA/long-term contracts only (derived),US,CY2023,medium (derived),https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/msc/documents/presentations/CSR/2025-Microsoft-Environmental-Data-Fact-Sheet-PDF.pdf,"CY2023 = avg(FY23,FY24) NA x ~0.95 US share x avg direct share ~68.5% = ~9.9; conservative floor FY23-only = 7.7-8.1. Central 9-10."
Microsoft,delivered_renewable_energy_epa_gpp,13.382,TWh/yr,delivered (US green power; incl. unbundled RECs),US,Oct 2024 list,high,https://www.epa.gov/greenpower/green-power-partnership-national-top-100,"EPA GPP #1: Microsoft 13,382,420,000 kWh, 100% of US use. Last published EPA supply mix (2021 vintage): 53% unbundled RECs / 42% financial PPA - haircut for PPA-only crediting."
Microsoft,ppa_share_of_2025_target,>90,%,share of renewable energy applied to 2025 target from PPAs/long-term contracts,Global,CY2025,high (verbatim),https://blogs.microsoft.com/blog/2026/02/18/a-milestone-achievement-in-our-journey-to-carbon-negative/,"""more than 90% of the renewable energy applied to achieve our 2025 target"" came from PPAs or similar long-term contracting. This is an energy-share disclosure, not a capacity de-rate; the contracted-capacity scenario therefore uses the official map capacity rather than applying a 90% haircut, then subtracts identified hydro for the zero-water boundary."
Microsoft,nuclear_fusion_flag,0.885,GW,contracted non-renewable CFE (NOT zero-water; NOT operating),US,signed 2023-2024,high,https://www.cnbc.com/2024/09/20/constellation-energy-to-restart-three-mile-island-and-sell-the-power-to-microsoft.html,"Crane (ex-TMI-1) 835 MW 20-yr PPA, restart target H2 2027 (evaporative-cooled); Helion fusion 50 MW (~2028). Both OUTSIDE the 26.252 GW renewable map - no de-rate of map capacity needed."
Meta,contracted_capacity_cumulative_global,15,GW,contracted clean+renewable,Global,end-2024 (2025 Sustainability Report),high,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,"""Over the last decade we have contracted for over 15 GW of new clean and renewable energy across the globe"" (2025 SR p.19). Portfolio ~85-90% US (15 of 18 owned DC campuses are US)."
Meta,contracted_capacity_us_map_numeric,19.558,GW,contracted wind/solar numeric map records,US,live map checked 2026-06-30,medium-high (derived from company map),https://sustainability.atmeta.com/energy/,"Parsed live energy-page marker array. Filter to US wind/solar records: 134 records; 129 numeric-capacity records total 19,558 MW; five blank-capacity records excluded (Lampasas County Solar, Lamar County Solar, Hopkins County Solar, Henderson County Solar, MidAmerican Wind I-XII)."
Meta,contracted_capacity_us_estimate_incl2025,19.558,GW,contracted wind/solar,US,current default,medium-high,https://sustainability.atmeta.com/energy/,"Use live map-derived numeric total rather than rough BNEF-derived estimate. BNEF 2025 league table remains context for signings volume; current default prioritizes company-published map records."
Meta,operating_capacity,7,GW,operating (estimate),US,end-2024,low-medium,https://sustainability.atmeta.com/energy/,"""89 of the 128 projects in our portfolio were online and producing power"" end-2024. Floor: ACP end-2022 4.8 GW US operating (#1). Implied 6.5-8.5 GW global from 18.4 TWh matched load at solar-heavy CFs."
Meta,delivered_renewable_energy,13.50,TWh/yr,consumed = 100% EAC-matched (US share derived),US,CY2023,high consumption / medium US-split,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,"Global 15,325,314 MWh minus non-US owned DCs (Clonee+Lulea+Odense 1,823,773 MWh) = 13.50 TWh. Assured data index."
Meta,delivered_renewable_energy,16.31,TWh/yr,consumed = 100% EAC-matched,US,CY2024,high consumption / medium US-split,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,"18,423,634 - 2,115,144 = 16.31 TWh."
Meta,unbundled_rec_share,18,%,share of renewable volume from unbundled RECs,Global,2022 (latest published),medium,https://www.bloomberg.com/news/articles/2024-08-21/ai-tech-giants-hide-dirty-energy-with-outdated-carbon-accounting-rules,"Bloomberg: Meta 18% (vs Amazon 52% / Microsoft 51%). Most of Meta's match is bundled new-build PPAs - PPA-delivered ~82% of matched = ~11.1 TWh US CY2023."
Meta,nuclear_flag,7.7,GW,contracted/committed nuclear (NOT zero-water),US,Jun 2025-Jan 2026,high,https://www.powermag.com/meta-locks-in-up-to-6-6-gw-of-nuclear-power-through-deals-with-vistra-oklo-and-terrapower/,"Clinton 1.121 GW (Jun 2025) + Vistra Perry/Davis-Besse 2.18-2.61 GW (Jan 2026) + Oklo up to 1.2 GW + TerraPower 2x345 MW. Exclude all from zero-water capacity."
cross,epa_gpp_participation,n/a,n/a,US delivered green power kWh,US,Oct 2024 list,high,https://www.epa.gov/greenpower/green-power-partnership-national-top-100,"Only Microsoft (13.38 TWh #1) and Google (10.11 TWh #2; stale) participate. Amazon and Meta are NOT GPP partners - no independent US delivered-energy figure exists for them; capacity-based reconstruction required."
cross,ceba_deal_tracker,143.8,GW,cumulative US corporate contracted (all buyers) since 2014,US,Q1 2026,high,https://ceba.org/programs/deal-tracker/,"71 GW of corporate-backed capacity operating = 49% of contracted - market-wide contracted-to-operating ratio, corroborates per-company operating haircuts."
cross,acp_end2022_splits,n/a,GW,US contracted (operating),US,end-2022,high,https://cleanpower.org/clean-energy-powers-american-business/,"Amazon 12.4 contracted (21% operating); Meta 8.7 (4.8 operating - most of anyone); Google 6.2. Last public per-company US operating split."
cross,bnef_2025_league,n/a,GW,global signed in CY2025,Global,Feb 2026,high,https://about.bnef.com/insights/clean-energy/corporate-clean-energy-buying-fell-in-2025-after-nearly-a-decade-of-growth/,"Meta 10.24 GW #1; Amazon 10.22 #2; big-4 = 49% of global activity; US market record 29.5 GW. 2023: global 46 GW / US 17.3 GW / Amazon #1 8.8 GW."
cross,eia_capacity_factors,n/a,%,fleet capacity factors for GW-to-TWh,US,2023-2025,high,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_6_07_b,"Utility solar PV: 23.2% (2023 final) / 23.2% (2024 final) / 24.4% (2025 prelim). Onshore wind: 33.2% / 34.3% / 34.2%. 1 GW solar ~2.0 TWh/yr; 1 GW wind ~3.0 TWh/yr. Old model's flat 30% CF overstates solar-heavy portfolios."
cross,lbnl_dc_energy_baseline,176,TWh/yr,total US data center electricity,US,CY2023,high,https://escholarship.org/uc/item/32d6m0d1,"LBNL 2024 US Data Center Energy Usage Report: ""reaching 176 TWh by 2023 representing 4.4% of total U.S. electricity"". Hyperscale+colo ~80% of server energy; 84% of the 66 GL direct water. IEA alternative: 154 TWh (2023) - methodology difference."
cross,big4_us_delivered_ppa_2023,41.6,TWh/yr,delivered wind/solar PPA energy (conservative sum),US,CY2023,medium (derived),n/a,"Google 11.0 (NA allocated trimmed to US) + Microsoft 8.0 (PPA-only floor) + Amazon 11.7 (fleet conservative) + Meta 11.1 (matched x 82% PPA share) = 41.8. Central: 11.5+9.5+13.3+12.4 = 46.7. Inclusive (all matched incl RECs): 11.9+13.7+14.9+13.5 = 54.0. vs LBNL 176 TWh = 24-31% of US DC load."
cross,big4_us_delivered_ppa_recent,73,TWh/yr,delivered/matched renewable (central sum),US,CY2024/FY2024,medium (derived),n/a,"Google 18.0 + Microsoft 15.8 (NA matched trimmed) + Amazon 23.5 + Meta 16.3 = 73.6. Mixed CY/FY vintages; flag in UI."
Google,delivered_renewable_energy_2025est,20.1,TWh/yr,delivered wind/solar estimate; report lacks US/NA wind-solar-only split,North America~US,CY2025,medium (derived),https://sustainability.google/reports/google-2026-environmental-report/,"Google 2026 Environmental Report reports North America total renewable electricity allocated of 28,993,500 MWh in 2025, but it does not publish a US/NA wind-solar-only delivered PPA split and includes broader renewable/CFE accounting. Delivered wind/solar scenario remains a conservative derived estimate: floor 18.4 = CY2024 verified NA allocated (18.748 TWh) trimmed to US with zero growth assumed; central 20.1 adds verified full-year ramp of Orion Solar Belt and small 2025-COD items. Brookfield hydro deliveries began 2025 and are excluded from zero-water wind/solar credit."
Amazon,delivered_renewable_energy_2025est,33.7,TWh/yr,delivered (fleet reconstruction from company CSV),US,CY2025,medium-high (derived from company per-project data),https://sustainability.aboutamazon.com/content/dam/sustainability-marketing-site/05-carbon-free-energy/amazon-carbon-free-energy-projects.csv,"Live Amazon CSV checked 2026-06-30: US named wind/solar operating by end-2024 = 12,129.23 MW; by end-2025 = 15,420.63 MW. Dashboard delivered-energy sensitivity remains 28.9 TWh conservative / 33.7 TWh central using COD cohorts and EIA wind/solar capacity factors. This is separate from the contracted PPA count and should be refreshed if Amazon changes COD fields."
Meta,delivered_renewable_energy_2025est,16.1,TWh/yr,delivered (consumption-anchored estimate),US,CY2025,medium (derived),https://www.esgtoday.com/meta-to-offtake-100-of-renewable-energy-from-new-900-million-solar-project-to-power-u-s-data-centers/,"Conservative floor 13.4 = assured CY2024 US matched load (16.31 TWh) held flat (zero growth despite +70% capex and capacity-constrained status) x 0.82 bundled-PPA share. Central 16.1 = +20% load growth (Meta's own 2024 YoY rate) x 0.82. Capacity sanity check: Meta stated target of 9.8 GW US renewables operational by end-2025 (ESG Today, Jul 2025); avg-year ~8.4 GW x 25% CF = ~18 TWh ceiling. FY25 10-K contains no energy data; next assured Data Index ~Oct 2026. 2025 signings (NextEra ~2.5 GW etc.) mostly COD 2026-2028 - excluded."
Microsoft,delivered_renewable_energy_2025est,18.6,TWh/yr,delivered via PPA/long-term contracts (estimate),US,CY2025,medium (derived),https://blogs.microsoft.com/blog/2026/02/18/a-milestone-achievement-in-our-journey-to-carbon-negative/,"Conservative 16.3 = Deloitte-reviewed FY24 NA matched (16.599 TWh) x +15% growth (vs +20.5% actual FY23-FY24) x 0.95 US share x 0.90 PPA floor (verbatim: 'more than 90% of the renewable energy applied to achieve our 2025 target' from PPAs/long-term contracts). Central 18.6 = +20.5%/+18% growth, CY2025 = avg(FY25,FY26). FY25 fact sheet NOT published as of June 2026 (2026 URL = 404; aka.ms shortlink unprovisioned). US active capacity 11.484 GW (Dec 2025 map) x 0.27 x 8.76 = 27 TWh potential - capacity not binding; matched load x PPA share is."
cross,big4_contracted_full_build_zero_water,84.899,GW,strict lower-bound contracted capacity default,US-focused with Google NA floor,checked 2026-06-30,medium-high,n/a,"Google 16.700 NA zero-water floor + Amazon 22.491 live CSV named US wind/solar + Meta 19.558 live map numeric US wind/solar + Microsoft 26.150 zero-water adjusted map total = 84.899 GW. Excludes nuclear/hydro/geothermal/fusion from the default where identifiable; Google remains the main proxy because it does not publish a US/NA wind-solar-only table."
cross,big4_contracted_full_build_zero_water_aggregate_adjusted,95.0-97.3,GW,non-default aggregate-adjusted cross-check,US-focused / North America for Google,checked 2026-06-30,medium,n/a,"Google aggregate-adjusted zero-water cross-check 26.8-29.1 GW + Amazon 22.491 + Meta 19.558 + Microsoft 26.150 = 95.0-97.3 GW. This is shown as a sensitivity only because Google and Microsoft do not publish complete public project-level resource tables."
cross,big4_us_delivered_ppa_2025est,77.0,TWh/yr,delivered wind/solar PPA energy (conservative sum),US,CY2025,medium (derived),n/a,"Conservative: Amazon 28.9 + Google 18.4 + Meta 13.4 + Microsoft 16.3 = 77.0. Central: 33.7 + 20.1 + 16.1 + 18.6 = 88.5. vs 2025 modeled US DC load 232.6 TWh (176 x 1.3216 buildout factor) = 33% (conservative) / 38% (central) coverage. Google 2026 Environmental Report is published, but lacks US/NA wind-solar-only delivered split; Microsoft/Meta CY2025 data indexes remain pending."
cross,ppa_traceability_surfaces,5,surfaces,auditability guardrail,all PPA components,checked 2026-07-01,high,n/a,"Every PPA component is traceable through five public surfaces: on-page zero-water procurement ledger, Source Mapping rows, Evidence Snippets rows, this downloadable CSV, and exported formula trace. Each component has an exact source link, extraction method, zero-water exclusion rule, confidence label, and known limitation."
cross,ppa_default_residual_risks,n/a,n/a,known limitations,all PPA components,checked 2026-07-01,medium-high,n/a,"Default residual risk: Google has no public US/NA wind-solar project table; Meta has five blank-capacity map records; Microsoft regional map may contain additional undisclosed non-zero-water resources; Amazon CSV and COD fields may change. The default keeps only named wind/solar where available and subtracts identified hydro/nuclear/geothermal/fusion where found."
Amazon,contracted_capacity_solar,18.112,GW,source-derived solar portion of contracted zero-water default,US,current live CSV checked 2026-07-03,high,https://sustainability.aboutamazon.com/content/dam/sustainability-marketing-site/05-carbon-free-energy/amazon-carbon-free-energy-projects.csv,"Filter Country = United States and named/site solar rows; sum System Size = 18,112.41 MW. Includes identifiable on-site solar; excludes nuclear and unlabeled rows."
Amazon,contracted_capacity_wind,4.378,GW,source-derived wind portion of contracted zero-water default,US,current live CSV checked 2026-07-03,high,https://sustainability.aboutamazon.com/content/dam/sustainability-marketing-site/05-carbon-free-energy/amazon-carbon-free-energy-projects.csv,"Filter Country = United States and named/site wind rows; sum System Size = 4,378.42 MW."
Meta,contracted_capacity_us_map_solar_numeric,16.747,GW,source-derived solar portion of current US numeric map total,US,live map checked 2026-07-03,medium-high,https://sustainability.atmeta.com/energy/,"Parsed live energy-page marker array. CONUS numeric solar records total 16,747 MW; four blank-capacity solar records excluded."
Meta,contracted_capacity_us_map_wind_numeric,2.811,GW,source-derived wind portion of current US numeric map total,US,live map checked 2026-07-03,medium-high,https://sustainability.atmeta.com/energy/,"Parsed live energy-page marker array. CONUS numeric wind records total 2,811 MW; one blank-capacity wind record excluded."
Google,bnef_2025_us_offsite_solar_chart,2.091,GW,chart-digitized solar in 2025 US offsite corporate PPAs,US,CY2025,medium chart-derived,https://bcse.org/wp-content/uploads/2026/02/2026-Sustainable-Energy-in-America-Factbook.pdf,"Factbook page 44 chart: Google total 4,181 MW; digitized solar 106 px / 212 px total bar x 4.181 GW = 2.091 GW. Annual 2025 offsite PPA context only; not additive to cumulative default."
Google,bnef_2025_us_offsite_wind_chart,0.572,GW,chart-digitized wind in 2025 US offsite corporate PPAs,US,CY2025,medium chart-derived,https://bcse.org/wp-content/uploads/2026/02/2026-Sustainable-Energy-in-America-Factbook.pdf,"Factbook page 44 chart: Google total 4,181 MW; digitized wind 29 px / 212 px total bar x 4.181 GW = 0.572 GW. Annual 2025 offsite PPA context only; not additive to cumulative default."
Google,default_solar_split_estimate,13.113,GW,estimated solar split of the 16.700 GW default floor,North America,current conservative default,low-medium diagnostic,https://bcse.org/wp-content/uploads/2026/02/2026-Sustainable-Energy-in-America-Factbook.pdf,"Applies Google's 2025 BNEF/BCSE US offsite zero-water chart ratio (2.091 GW solar / 0.572 GW wind) to the 16.700 GW floor. Diagnostic only because Google does not publish a US/NA project-level wind/solar table."
